Date,KBP1424D,KBP1425D,KBP1437D,KBP1438D,KBP1440D,KBP1456D,KBP1457D,KBP1481D,KBP1482D,KBP1484D
1999-03-23,,,4000,,,,,0,0,
1999-03-24,,,3500,,,,,0,0,
1999-03-25,,,4000,,,,,0,0,
1999-03-26,,,3900,,,,,-1,0,
1999-03-27,,,0,,,,,0,0,
1999-03-29,,,3600,,,,,0,0,
1999-03-30,,,3700,,,,,0,0,
1999-03-31,,,4600,,,,,0,0,
1999-04-01,,,5000,,,,,-411,0,
1999-04-02,,,0,,,,,0,0,
1999-04-03,,,0,,,,,-1,0,
1999-04-05,,,0,,,,,0,0,
1999-04-06,,,3900,,,,,0,1,
1999-04-07,,,4700,,,,,0,0,
1999-04-08,,,4400,,,,,0,0,
1999-04-09,,,4300,,,,,-230,0,
1999-04-10,,,0,,,,,-1,0,
1999-04-12,,,4400,,,,,0,0,
1999-04-13,,,4000,,,,,-10,0,
1999-04-14,,,4400,,,,,0,1,
1999-04-15,,,4000,,,,,0,0,
1999-04-16,,,4100,,,,,-2,0,
1999-04-17,,,0,,,,,-1,0,
1999-04-19,,,3500,,,,,-2,0,
1999-04-20,,,4300,,,,,-2,0,
1999-04-21,,,4300,,,,,-2,0,
1999-04-22,,,4000,,,,,0,4,
1999-04-23,,,4400,,,,,0,153,
1999-04-24,,,0,,,,,-3,0,
1999-04-26,,,4100,,,,,-2,0,
1999-04-27,,,0,,,,,0,0,
1999-04-28,,,4400,,,,,-1,0,
1999-04-29,,,4900,,,,,-2,0,
1999-04-30,,,4330,,,,,-1,0,
1999-05-01,,,0,0.0,,,,0,0,
1999-05-03,,,5100,0.0,,,,0,0,
1999-05-04,,,6000,438.0,,,,-1,0,
1999-05-05,,,6600,0.0,,,,0,0,
1999-05-06,,,6800,411.0,,,,-1,0,
1999-05-07,,,7500,-270.0,,,,-1,0,
1999-05-08,,,0,0.0,,,,-2,0,
1999-05-10,,,7500,0.0,,,,-1,0,
1999-05-11,,,7500,0.0,,,,0,0,
1999-05-12,,,7500,0.0,,,,-1,0,
1999-05-13,,,7450,0.0,,,,0,0,
1999-05-14,,,7180,0.0,,,,-11,0,
1999-05-15,,,0,0.0,,,,0,0,
1999-05-17,,,7390,390.0,,,,-3,0,
1999-05-18,,,7390,480.0,,,,-2,0,
1999-05-19,,,7650,0.0,,,,-4,0,
1999-05-20,,,7895,0.0,,,,0,88,
1999-05-21,,,7390,0.0,,,,-1,0,
1999-05-22,,,0,0.0,,,,-1,0,
1999-05-24,,,7600,-315.0,,,,-1,0,
1999-05-25,,,7400,-230.0,,,,-1,0,
1999-05-26,,,7200,0.0,,,,-1,0,
1999-05-27,,,6800,0.0,,,,-1,0,
1999-05-28,,,6700,533.0,,,,-2,0,
1999-05-29,,,0,0.0,,,,-2,0,
1999-05-31,,,7100,0.0,,,,-1,0,
1999-06-01,,,7500,0.0,,,,-1,0,
1999-06-02,,,0,0.0,,,,0,0,
1999-06-03,,,8500,30.0,,,,-1,0,
1999-06-04,,,8600,0.0,,,,-3,0,
1999-06-05,,,0,0.0,,,,-2,0,
